,,2010-01-04 00:00:00
Adj Close,ARCC,4.398893356323242
Adj Close,ARCE,
Adj Close,ARCH,
Adj Close,ARCK,
Adj Close,ARCKU,
Adj Close,ARCKW,
Adj Close,ARCO,
Adj Close,ARCT,
Adj Close,ARDC,
Adj Close,ARDS,
Adj Close,ARDX,
Adj Close,ARE,44.4757194519043
Adj Close,AREB,
Adj Close,AREBW,
Adj Close,AREC,
Adj Close,AREN,7.039999961853027
Adj Close,ARES,
Adj Close,ARGD,
Adj Close,ARGO,15.642251014709473
Adj Close,ARGO^A,
Adj Close,ARGX,
Adj Close,ARHS,
Adj Close,ARI,5.210025787353516
Adj Close,ARIS,
Adj Close,ARIZ,
Adj Close,ARKO,
Adj Close,ARKR,8.106146812438965
Adj Close,ARL,12.279999732971191
Adj Close,ARLO,
Adj Close,ARLP,9.1521577835083
Adj Close,ARMK,
Adj Close,ARMP,1960.0
Adj Close,ARNC,
Adj Close,AROC,14.75636100769043
Adj Close,AROW,12.755655288696289
Adj Close,ARQQ,
Adj Close,ARQQW,
Adj Close,ARQT,
Adj Close,ARR,12.157022476196289
Adj Close,ARRW,
Adj Close,ARRY,
Adj Close,ARR^C,
Adj Close,ARTE,
Adj Close,ARTL,
Adj Close,ARTNA,12.604681015014648
Adj Close,ARTW,3.9900262355804443
Adj Close,ARVL,
Adj Close,ARVN,
Adj Close,ARW,29.700000762939453
Adj Close,ARWR,5.400000095367432
Adj Close,ARYD,
Adj Close,ARYE,
Adj Close,ASA,24.6248779296875
Adj Close,ASAI,
Adj Close,ASAN,
Adj Close,ASAP,
Adj Close,ASB,8.76602840423584
Adj Close,ASB^E,
Adj Close,ASB^F,
Adj Close,ASC,
Adj Close,ASCA,
Adj Close,ASCAR,
Adj Close,ASCAU,
Adj Close,ASCAW,
Adj Close,ASCBR,
Adj Close,ASG,1.1682796478271484
Adj Close,ASGI,
Adj Close,ASGN,7.400000095367432
Adj Close,ASH,17.03603744506836
Adj Close,ASIX,
Adj Close,ASLE,
Adj Close,ASLN,
Adj Close,ASM,0.7900000214576721
Adj Close,ASMB,
Adj Close,ASML,24.623851776123047
Adj Close,ASND,
Adj Close,ASNS,
Adj Close,ASO,
Adj Close,ASPA,
Adj Close,ASPAW,
Adj Close,ASPI,
Adj Close,ASPN,
Adj Close,ASPS,21.18000030517578
Adj Close,ASPU,
Adj Close,ASR,40.6746711730957
Adj Close,ASRT,12.84000015258789
Adj Close,ASRV,1.285012125968933
Adj Close,ASTC,286.5
Adj Close,ASTE,24.510343551635742
Adj Close,ASTI,
Adj Close,ASTL,
Adj Close,ASTLW,
Adj Close,ASTR,
Adj Close,ASTS,
Adj Close,ASTSW,
Adj Close,ASUR,1.8266669511795044
Adj Close,ASX,2.8797287940979004
Adj Close,ASXC,81.25
Adj Close,ASYS,11.029999732971191
Adj Close,ATAI,
Adj Close,ATAKR,
Adj Close,ATAQ,
Adj Close,ATAT,
Adj Close,ATCO,4.538682460784912
Adj Close,ATCOL,
Adj Close,ATCO^D,
Adj Close,ATCO^H,
Adj Close,ATCO^I,
Adj Close,ATCX,
Adj Close,ATEC,63.36000061035156
Adj Close,ATEK,
Adj Close,ATEN,
Adj Close,ATER,
Adj Close,ATEX,
Adj Close,ATGE,52.38433837890625
Adj Close,ATHA,
Adj Close,ATHE,79.19999694824219
Adj Close,ATHM,
Adj Close,ATHX,101.0
Adj Close,ATH^A,
Adj Close,ATH^B,
Adj Close,ATH^C,
Adj Close,ATH^D,
Adj Close,ATH^E,
Adj Close,ATI,41.26578140258789
Adj Close,ATIF,
Adj Close,ATIP,
Adj Close,ATKR,
Adj Close,ATLC,3.299999952316284
Adj Close,ATLCL,
Adj Close,ATLCP,
Adj Close,ATLO,14.419283866882324
Adj Close,ATMCU,
Adj Close,ATMVU,
Adj Close,ATNF,
Adj Close,ATNFW,
Adj Close,ATNI,44.93086624145508
Adj Close,ATNM,
Adj Close,ATNX,
Adj Close,ATO,20.31471824645996
Adj Close,ATOM,
Adj Close,ATOS,
Adj Close,ATR,29.75758934020996
Adj Close,ATRA,
Adj Close,ATRC,5.650000095367432
Adj Close,ATRI,126.29729461669922
Adj Close,ATRO,2.833326578140259
Adj Close,ATSG,2.799999952316284
Adj Close,ATTO,
Adj Close,ATUS,
Adj Close,ATVI,10.077828407287598
Adj Close,ATXG,
Adj Close,ATXI,
Adj Close,ATXS,
Adj Close,ATY,
Adj Close,AU,38.734466552734375
Adj Close,AUB,9.112916946411133
Adj Close,AUBAP,
Adj Close,AUBN,14.084691047668457
Adj Close,AUD,6.076861381530762
Adj Close,AUDC,2.6011874675750732
Adj Close,AUGX,
Adj Close,AUID,
Adj Close,AULT,1064.0
Adj Close,AULT^D,
Adj Close,AUMN,10.25
Adj Close,AUPH,
Adj Close,AUR,
Adj Close,AURA,
Adj Close,AURC,
Adj Close,AUROW,
Adj Close,AUST,
Adj Close,AUTL,
Adj Close,AUUD,
Adj Close,AUUDW,
Adj Close,AUVI,
Adj Close,AUVIP,
Adj Close,AUY,9.902565002441406
Adj Close,AVA,13.257351875305176
Adj Close,AVAC,
Adj Close,AVACW,
Adj Close,AVAH,
Adj Close,AVAL,
Adj Close,AVAV,29.610000610351562
Adj Close,AVB,55.29437255859375
Adj Close,AVCT,
Adj Close,AVCTW,
Adj Close,AVD,7.662432670593262
Adj Close,AVDL,7.53000020980835
Adj Close,AVDX,
Adj Close,AVEO,
Adj Close,AVGO,14.53989315032959
Adj Close,AVGR,
Adj Close,AVHI,
Adj Close,AVHIU,
Adj Close,AVID,13.130000114440918
Adj Close,AVIR,
Adj Close,AVK,4.9239821434021
Adj Close,AVNS,
Adj Close,AVNT,6.706628799438477
Adj Close,AVNW,42.84000015258789
Adj Close,AVO,
Adj Close,AVPT,
Adj Close,AVPTW,
Adj Close,AVRO,
Adj Close,AVT,26.10974884033203
Adj Close,AVTE,
Adj Close,AVTR,
Adj Close,AVTX,
Adj Close,AVXL,8.800000190734863
Adj Close,AVY,27.759151458740234
Adj Close,AVYA,
Adj Close,AWF,4.779599666595459
Adj Close,AWH,25.850000381469727
Adj Close,AWI,24.468061447143555
Adj Close,AWK,16.908323287963867
Adj Close,AWP,2.1280922889709473
Adj Close,AWR,13.647079467773438
Adj Close,AWRE,1.3058044910430908
Adj Close,AWX,2.2300000190734863
Adj Close,AX,2.4625000953674316
Adj Close,AXAC,
Adj Close,AXDX,0.8399999737739563
Adj Close,AXGN,3.492313861846924
Adj Close,AXL,8.760000228881836
Adj Close,AXLA,
Adj Close,AXNX,
Adj Close,AXON,4.650000095367432
Adj Close,AXP,34.14529037475586
Adj Close,AXR,14.029999732971191
Adj Close,AXS,20.416574478149414
Adj Close,AXSM,
Adj Close,AXS^E,
Adj Close,AXTA,
Adj Close,AXTI,3.390000104904175
Adj Close,AY,
Adj Close,AYI,33.7056884765625
Adj Close,AYLA,
Adj Close,AYRO,54516.0
Adj Close,AYTU,5853658.5
Adj Close,AYX,
Adj Close,AZ,
Adj Close,AZEK,
Adj Close,AZN,12.95991325378418
Adj Close,AZO,158.02999877929688
Adj Close,AZPN,9.899999618530273
Adj Close,AZRE,
Adj Close,AZTA,8.90999984741211
Adj Close,AZUL,
Adj Close,AZYO,
Adj Close,AZZ,13.714866638183594
Adj Close,B,14.267674446105957
Adj Close,BA,43.77754211425781
Adj Close,BABA,
Adj Close,BAC,13.406421661376953
Adj Close,BACA,
Adj Close,BACK,
Adj Close,BAC^B,
Adj Close,BAC^E,
Adj Close,BAC^K,
Adj Close,BAC^L,
Adj Close,BAC^M,
Adj Close,BAC^N,
Adj Close,BAC^O,
Adj Close,BAC^P,
Adj Close,BAC^Q,
Adj Close,BAC^S,
Adj Close,BAFN,
Adj Close,BAH,
Adj Close,BAK,9.445527076721191
Adj Close,BALL,13.1225004196167
Adj Close,BALY,
Adj Close,BAM,
Adj Close,BANC,3.7222185134887695
Adj Close,BAND,
Adj Close,BANF,14.132184982299805
Adj Close,BANFP,11.702692985534668
Adj Close,BANR,14.679701805114746
Adj Close,BANX,
Adj Close,BAOS,
Adj Close,BAP,53.492122650146484
Adj Close,BARK,
Adj Close,BASE,
Adj Close,BATL,
Adj Close,BATRA,
Adj Close,BATRK,
Adj Close,BAX,25.295589447021484
Adj Close,BB,65.93000030517578
Adj Close,BBAI,
Adj Close,BBAR,4.526310443878174
Adj Close,BBBY,34.029781341552734
Adj Close,BBCP,
Adj Close,BBD,9.058361053466797
Adj Close,BBDC,3.9588756561279297
Adj Close,BBDO,
Adj Close,BBGI,2.6836204528808594
Adj Close,BBIG,
Adj Close,BBIO,
Adj Close,BBLG,
Adj Close,BBLGW,
Adj Close,BBLN,
Adj Close,BBN,
Adj Close,BBSI,10.06563949584961
Adj Close,BBU,
Adj Close,BBUC,
Adj Close,BBVA,9.78060531616211
Adj Close,BBW,4.567234039306641
Adj Close,BBWI,6.4869704246521
Adj Close,BBY,27.452028274536133
Adj Close,BC,11.85901165008545
Adj Close,BCAB,
Adj Close,BCAN,
Adj Close,BCAT,
Adj Close,BCBP,5.065983772277832
Adj Close,BCC,
Adj Close,BCDA,91.80000305175781
Adj Close,BCDAW,
Adj Close,BCE,14.406506538391113
Adj Close,BCEL,
Adj Close,BCH,10.012420654296875
Adj Close,BCLI,3.9000000953674316
Adj Close,BCML,7.75
Adj Close,BCO,21.34741973876953
Adj Close,BCOR,9.079999923706055
Adj Close,BCOV,
Adj Close,BCOW,
Adj Close,BCPC,21.468294143676758
Adj Close,BCRX,6.800000190734863
Adj Close,BCS,12.251419067382812
Adj Close,BCSA,
Adj Close,BCSAU,
Adj Close,BCSAW,
Adj Close,BCSF,
Adj Close,BCTX,
Adj Close,BCTXW,
Adj Close,BCV,6.701017379760742
Adj Close,BCX,
Adj Close,BCYC,
Adj Close,BC^A,
Adj Close,BC^B,
Adj Close,BC^C,
Adj Close,BDC,22.263774871826172
Adj Close,BDJ,3.358586311340332
Adj Close,BDL,4.759326457977295
Adj Close,BDN,6.076691627502441
Adj Close,BDSX,
Adj Close,BDTX,
Adj Close,BDX,62.1009407043457
Adj Close,BDXB,
Adj Close,BE,
Adj Close,BEAM,
Adj Close,BEAT,
Adj Close,BEATW,
Adj Close,BECN,16.770000457763672
Adj Close,BEDU,
Adj Close,BEEM,
Adj Close,BEEMW,
Adj Close,BEKE,
Adj Close,BELFA,16.377262115478516
Adj Close,BELFB,18.362476348876953
Adj Close,BEN,24.5452823638916
Adj Close,BEP,3.504035234451294
Adj Close,BEPC,
Adj Close,BEPH,
Adj Close,BEPI,
Adj Close,BEP^A,
Adj Close,BERY,
Adj Close,BEST,
Adj Close,BF/A,
Adj Close,BF/B,
Adj Close,BFAC,
Adj Close,BFAM,
Adj Close,BFC,7.480393886566162
Adj Close,BFH,52.585792541503906
Adj Close,BFI,
Adj Close,BFIIW,
Adj Close,BFIN,7.909552097320557
Adj Close,BFK,5.917832851409912
Adj Close,BFLY,
Adj Close,BFRI,
Adj Close,BFS,20.316743850708008
Adj Close,BFST,
Adj Close,BFS^D,
Adj Close,BFS^E,
Adj Close,BFZ,6.827070236206055
Adj Close,BG,48.588443756103516
Adj Close,BGB,
Adj Close,BGCP,1.368727684020996
Adj Close,BGFV,10.280266761779785
Adj Close,BGH,
Adj Close,BGI,1.1699999570846558
Adj Close,BGNE,
Adj Close,BGR,9.643235206604004
Adj Close,BGRY,
Adj Close,BGRYW,
Adj Close,BGS,4.791318416595459
Adj Close,BGSF,
Adj Close,BGSX,
Adj Close,BGT,6.421322345733643
Adj Close,BGX,
Adj Close,BGXX,
Adj Close,BGY,3.742539405822754
Adj Close,BH,180.614501953125
Adj Close,BHAC,
Adj Close,BHACW,
Adj Close,BHAT,
Adj Close,BHB,8.068917274475098
Adj Close,BHC,13.885757446289062
Adj Close,BHE,17.709152221679688
Adj Close,BHF,
Adj Close,BHFAL,
Adj Close,BHFAM,
Adj Close,BHFAN,
Adj Close,BHFAO,
Adj Close,BHFAP,
Adj Close,BHG,
Adj Close,BHIL,
Adj Close,BHK,5.494584560394287
Adj Close,BHLB,14.31229019165039
Adj Close,BHM,
Adj Close,BHP,36.166866302490234
Adj Close,BHR,
Adj Close,BHR^B,
Adj Close,BHR^D,
Adj Close,BHV,10.722270011901855
Adj Close,BHVN,
Adj Close,BIAF,
Adj Close,BIAFW,
Adj Close,BIDU,41.00299835205078
Adj Close,BIG,23.475521087646484
Adj Close,BIGC,
Adj Close,BIGZ,
Adj Close,BIIB,53.63999938964844
Adj Close,BILI,
Adj Close,BILL,
Adj Close,BIMI,562.5
Adj Close,BIO,97.87000274658203
Adj Close,BIO/B,
Adj Close,BIOC,
Adj Close,BIOL,222.32296752929688
Adj Close,BIOR,
Adj Close,BIOS,
Adj Close,BIOT,
Adj Close,BIOTU,
Adj Close,BIOTW,
